s_m,s_meas_m,R_kN,q_kPa,q_over_qVesic,ds_mm,wall_s
5e-05,5e-05,71.9618494,17.9904624,0.0282213357,0.05,1.73895526
0.0001,0.0001,81.0134948,20.2533737,0.0317711266,0.05,3.35001683
0.00015,0.00015,90.3329868,22.5832467,0.0354259592,0.05,4.96143508
0.0002,0.0002,99.3334618,24.8333655,0.0389556827,0.05,6.50238466
0.00025,0.00025,108.485029,27.1212573,0.0425446602,0.1,8.14936757
0.00035,0.00035,126.264192,31.566048,0.0495171285,0.1,9.99520683
0.00045,0.00045,144.000583,36.0001456,0.0564728229,0.1,11.7145207
0.00055,0.00055,161.509707,40.3774267,0.0633393901,0.1,13.8741555
0.00065,0.00065,178.855732,44.7139331,0.0701419947,0.1,15.7125013
0.00075,0.00075,196.080612,49.020153,0.0768970895,0.2,17.5750701
0.00095,0.00095,229.681019,57.4202547,0.0900741877,0.2,19.8195932
0.00115,0.00115,262.838365,65.7095911,0.10307753,0.2,22.0886722
0.00135,0.00135,295.615571,73.9038928,0.115931794,0.2,24.4200943
0.00155,0.00155,328.070345,82.0175861,0.128659608,0.2,26.5949738
0.00175,0.00175,360.116229,90.0290573,0.141227068,0.4,29.3487864
0.00215,0.00215,422.392428,105.598107,0.165649974,0.4,32.3302107
0.00255,0.00255,483.669693,120.917423,0.189681128,0.4,35.3285456
0.00295,0.00295,543.809133,135.952283,0.21326606,0.4,38.5872495
0.00335,0.00335,603.159483,150.789871,0.236541534,0.4,41.7647319
0.00375,0.00375,661.308671,165.327168,0.259345947,0.4,44.862998
0.00415,0.00415,718.720602,179.680151,0.28186123,0.4,48.0523992
0.00455,0.00455,775.238212,193.809553,0.304025786,0.4,51.5552895
0.00495,0.00495,831.095079,207.77377,0.325931218,0.4,54.9301322
0.00535,0.00535,886.007102,221.501776,0.347466109,0.4,58.2612102
0.00575,0.00575,940.052727,235.013182,0.368661225,0.4,61.6573231
0.00615,0.00615,993.40208,248.35052,0.389583283,0.4,66.2990575
0.00655,0.00655,1046.10764,261.526911,0.410252866,0.4,70.2040615
0.00695,0.00695,1098.2916,274.5729,0.43071789,0.4,74.0160007
0.00735,0.00735,1149.8647,287.466176,0.450943355,0.4,77.8121989
0.00775,0.00775,1200.90978,300.227446,0.470961745,0.4,81.2087903
0.00815,0.00815,1251.30371,312.825928,0.490724772,0.4,85.055155
0.00855,0.00855,1300.98523,325.246308,0.510208413,0.4,88.3534517
0.00895,0.00895,1349.894,337.4735,0.529389003,0.4,92.3487697
0.00935,0.00935,1398.11741,349.529353,0.548300817,0.4,96.2690191
0.00975,0.00975,1445.84389,361.460972,0.567017747,0.4,100.267166
0.01015,0.01015,1493.04464,373.261159,0.585528502,0.4,104.185389
0.01055,0.01055,1539.87673,384.969183,0.603894683,0.4,108.143008
0.01095,0.01095,1586.06444,396.516111,0.622008153,0.4,112.082847
0.01135,0.01135,1631.77093,407.942734,0.639932905,0.4,116.351851
0.01175,0.01175,1677.032,419.258,0.657682972,0.4,120.364804
0.01215,0.01215,1721.80046,430.450114,0.675239854,0.4,125.664609
0.01255,0.01255,1766.11474,441.528686,0.692618623,0.4,130.287084
0.01295,0.01295,1810.01008,452.502519,0.70983309,0.4,134.884942
0.01335,0.01335,1853.44235,463.360588,0.726865961,0.4,140.610204
0.01375,0.01375,1896.47187,474.117967,0.743740879,0.4,145.145545
0.01415,0.01415,1939.15212,484.788029,0.760478827,0.4,151.488544
0.01455,0.01455,1981.44504,495.36126,0.777064877,0.4,156.176304
0.01495,0.01495,2023.29099,505.822748,0.793475637,0.4,162.262245
0.01535,0.01535,2064.6535,516.163374,0.809696803,0.4,168.611749
0.01575,0.01575,2105.59855,526.399638,0.825754258,0.4,175.038414
0.01615,0.01615,2146.16671,536.541678,0.841663905,0.4,180.403903
0.01655,0.01655,2186.32516,546.58129,0.857412876,0.4,186.078242
