# ADR90 WP-A2 tau=0 band, build 548fe911427e90a2edfead05cb3672a738d25b6d, leg h1.0_e0.6944
s_m,s_over_B,q_foot_kPa,q_base_kPa,ds_mm,relaxed,wall_s
2e-05,1e-05,0.957685814,-0.962578624,0.02,0,0.201144218
4e-05,2e-05,1.53352856,-1.32383439,0.02,0,0.255970001
6e-05,3e-05,1.83975245,-1.68045093,0.02,0,0.333101988
8e-05,4e-05,2.16869992,-2.03648234,0.02,0,0.398470879
0.0001,5e-05,2.52080509,-2.36164702,0.02,0,0.471071005
0.00012,6e-05,2.84749516,-2.69507676,0.04,0,0.538548946
0.00016,8e-05,3.51203499,-3.34727337,0.04,0,0.669944286
0.0002,0.0001,4.13984525,-3.96768917,0.04,0,0.779299974
0.00024,0.00012,4.73800252,-4.57477754,0.04,0,0.906487465
0.00028,0.00014,5.36822356,-5.16643691,0.04,0,1.0322299
0.00032,0.00016,5.9296621,-5.76558874,0.04,0,1.1467185
0.00036,0.00018,6.54221338,-6.3427603,0.08,0,1.25371933
0.00044,0.00022,7.61029972,-7.51316753,0.08,0,1.50319719
0.00052,0.00026,8.7429986,-8.63783355,0.08,0,1.77315831
0.0006,0.0003,9.8515617,-9.74953192,0.08,0,2.0421927
0.00068,0.00034,10.9906513,-10.8560602,0.08,0,2.32141042
0.00076,0.00038,12.066618,-11.9533172,0.08,0,2.60786057
0.00084,0.00042,13.1291658,-13.0313047,0.16,0,2.87451196
0.001,0.0005,15.1776215,-15.1652978,0.16,0,3.52932525
0.00116,0.00058,17.2445053,-17.2462657,0.16,0,4.15829253
0.00132,0.00066,19.2781684,-19.2820094,0.16,0,5.9032805
0.00148,0.00074,21.3846134,-21.3613764,0.16,0,6.65426064
0.00164,0.00082,23.388668,-23.3776902,0.16,0,7.27867198
0.0018,0.0009,25.3367077,-25.4095893,0.32,0,8.83424878
0.00212,0.00106,29.2949607,-29.3153632,0.32,0,10.8312986
0.00244,0.00122,33.1805683,-33.208775,0.32,0,13.0964572
0.00276,0.00138,37.0222211,-37.0390934,0.32,0,15.7340527
0.00308,0.00154,40.7646352,-40.7998799,0.32,0,18.6151848
0.0034,0.0017,44.6344054,-44.640369,0.32,0,20.9300649
0.00372,0.00186,48.3850583,-48.3966271,0.64,0,23.4542749
0.00436,0.00218,55.7562782,-55.8722142,0.64,0,35.5788672
0.005,0.0025,63.2062889,-63.1792675,0.64,0,48.6682775
0.00564,0.00282,70.428538,-70.5032942,0.64,0,60.6290214
0.00628,0.00314,77.8766194,-77.8102151,0.64,0,71.7795537
0.00692,0.00346,84.8858756,-84.9677556,0.64,0,83.3175182
0.00756,0.00378,92.3443528,-92.2621343,1.28,0,764.992638
0.00884,0.00442,107.277394,-106.746844,1.28,1,844.067615
0.01012,0.00506,120.601547,-120.596586,1.28,0,864.812517
0.0114,0.0057,134.658096,-134.684384,1.28,0,885.594849
0.01268,0.00634,148.652809,-148.697734,1.28,0,905.335598
0.01396,0.00698,162.76043,-162.763405,1.28,0,927.817312
0.01524,0.00762,176.735697,-176.776604,2.56,0,947.769652
0.0178,0.0089,204.802545,-205.090538,2.56,1,1733.33872
0.02036,0.01018,232.128131,-232.144623,2.56,0,1780.18682
0.02292,0.01146,259.709482,-259.71562,2.56,0,1838.25429
0.02548,0.01274,287.281357,-287.254743,2.56,0,1889.83951
0.02804,0.01402,315.569663,-315.895771,2.56,1,1950.84467
0.0306,0.0153,342.355014,-342.396354,5,0,1994.12185
0.0356,0.0178,396.618739,-397.15279,5,1,2100.89687
0.0406,0.0203,450.392072,-450.741208,5,1,2216.97811
0.0456,0.0228,503.902286,-504.294093,5,1,2322.75043
