# ADR90 WP-A2 plastic field at CHECKPOINT s/B=0.04 (actual 0.040100), build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60, q_foot=1906.7422 kPa
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4626081,-17.706199,7.07478378,4.58760194,16.2281459,3.6207525e-05,0.855053698
2,-26.4626081,-13.6329249,7.07478378,3.55894634,12.5893879,0.000113809309,0.855053698
3,-26.4626081,-10.4729811,7.07478378,2.76094116,9.76653089,0.000187032939,0.855053698
4,-26.4626081,-8.02157615,7.07478378,2.1418688,7.57662931,0.000241288338,0.855053698
5,-26.4626081,-6.11983775,7.07478378,1.66160801,5.87775869,0.000281478387,0.855053698
6,-26.4626081,-4.64451687,7.07478378,1.28903375,4.55981753,0.000312792738,0.855053698
7,-26.4626081,-3.5,7.07478378,1,3.53739189,0.000339481328,0.855053698
8,-26.4626081,-2.5,7.07478378,1,3.53739189,0.00036322368,0.855053698
9,-26.4626081,-1.5,7.07478378,1,3.53739189,0.000393659892,0.855053698
10,-26.4626081,-0.5,7.07478378,1,3.53739189,0.000434903588,0.855053698
11,-20.1552847,-17.706199,5.539863,4.58760194,12.7073431,0.000121098481,0.855053698
12,-20.1552847,-13.6329249,5.539863,3.55894634,9.85803758,0.000202699305,0.855053698
13,-20.1552847,-10.4729811,5.539863,2.76094116,7.64761791,0.000264815778,0.855053698
14,-20.1552847,-8.02157615,5.539863,2.1418688,5.93282985,0.000304009453,0.855053698
15,-20.1552847,-6.11983775,5.539863,1.66160801,4.60254036,0.00032470828,0.855053698
16,-20.1552847,-4.64451687,5.539863,1.28903375,3.57053519,0.000335958617,0.855053698
17,-20.1552847,-3.5,5.539863,1,2.7699315,0.000337895357,0.855053698
18,-20.1552847,-2.5,5.539863,1,2.7699315,0.000347334899,0.855053698
19,-20.1552847,-1.5,5.539863,1,2.7699315,0.00035786709,0.855053698
20,-20.1552847,-0.5,5.539863,1,2.7699315,0.000392275211,0.855053698
21,-15.2163765,-17.706199,4.33795336,4.58760194,9.95040164,0.000238212473,0.855053698
22,-15.2163765,-13.6329249,4.33795336,3.55894634,7.71927162,0.000327669558,0.855053698
23,-15.2163765,-10.4729811,4.33795336,2.76094116,5.98841701,0.000398443578,0.855053698
24,-15.2163765,-8.02157615,4.33795336,2.1418688,4.64566348,0.000431198553,0.855053698
