# ADR90 WP-A2 plastic field at CHECKPOINT s/B=0.01 (actual 0.010180), build c4d08f1874060812ef25cfddf49724e7175f2978, leg h1.0_e0.60, q_foot=420.6046 kPa
ele,xc,zc,hx,hz,vol,eps_q_p,eta_grav
1,-26.4626081,-17.706199,7.07478378,4.58760194,16.2281459,1.75044884e-06,0.855053698
2,-26.4626081,-13.6329249,7.07478378,3.55894634,12.5893879,7.40315438e-06,0.855053698
3,-26.4626081,-10.4729811,7.07478378,2.76094116,9.76653089,1.38677549e-05,0.855053698
4,-26.4626081,-8.02157615,7.07478378,2.1418688,7.57662931,1.94900709e-05,0.855053698
5,-26.4626081,-6.11983775,7.07478378,1.66160801,5.87775869,2.42014044e-05,0.855053698
6,-26.4626081,-4.64451687,7.07478378,1.28903375,4.55981753,2.83561037e-05,0.855053698
7,-26.4626081,-3.5,7.07478378,1,3.53739189,3.19953598e-05,0.855053698
8,-26.4626081,-2.5,7.07478378,1,3.53739189,3.57161875e-05,0.855053698
9,-26.4626081,-1.5,7.07478378,1,3.53739189,4.0987205e-05,0.855053698
10,-26.4626081,-0.5,7.07478378,1,3.53739189,4.93010223e-05,0.855053698
11,-20.1552847,-17.706199,5.539863,4.58760194,12.7073431,7.43957151e-06,0.855053698
12,-20.1552847,-13.6329249,5.539863,3.55894634,9.85803758,1.40782896e-05,0.855053698
13,-20.1552847,-10.4729811,5.539863,2.76094116,7.64761791,2.09366396e-05,0.855053698
14,-20.1552847,-8.02157615,5.539863,2.1418688,5.93282985,2.60832965e-05,0.855053698
15,-20.1552847,-6.11983775,5.539863,1.66160801,4.60254036,2.98312571e-05,0.855053698
16,-20.1552847,-4.64451687,5.539863,1.28903375,3.57053519,3.29370984e-05,0.855053698
17,-20.1552847,-3.5,5.539863,1,2.7699315,3.54530332e-05,0.855053698
18,-20.1552847,-2.5,5.539863,1,2.7699315,3.83376496e-05,0.855053698
19,-20.1552847,-1.5,5.539863,1,2.7699315,4.20811115e-05,0.855053698
20,-20.1552847,-0.5,5.539863,1,2.7699315,5.01745963e-05,0.855053698
21,-15.2163765,-17.706199,4.33795336,4.58760194,9.95040164,1.44881904e-05,0.855053698
22,-15.2163765,-13.6329249,4.33795336,3.55894634,7.71927162,2.55321252e-05,0.855053698
23,-15.2163765,-10.4729811,4.33795336,2.76094116,5.98841701,3.40150648e-05,0.855053698
24,-15.2163765,-8.02157615,4.33795336,2.1418688,4.64566348,4.02289544e-05,0.855053698
25,-15.2163765,-6.11983775,4.33795336,1.66160801,3.60398902,4.36097058e-05,0.855053698
26,-15.2163765,-4.64451687,4.33795336,1.28903375,2.79588414,4.3903273e-05,0.855053698
27,-15.2163765,-3.5,4.33795336,1,2.16897668,4.3092416e-05,0.855053698
28,-15.2163765,-2.5,4.33795336,1,2.16897668,4.14243451e-05,0.855053698
29,-15.2163765,-1.5,4.33795336,1,2.16897668,4.14214435e-05,0.855053698
30,-15.2163765,-0.5,4.33795336,1,2.16897668,4.15594914e-05,0.855053698
31,-11.3489969,-17.706199,3.39680591,4.58760194,7.79159669,3.16994898e-05,0.855053698
32,-11.3489969,-13.6329249,3.39680591,3.55894634,6.04452498,3.30126649e-05,0.855053698
33,-11.3489969,-10.4729811,3.39680591,2.76094116,4.68919063,5.62760274e-05,0.855053698
34,-11.3489969,-8.02157615,3.39680591,2.1418688,3.63775629,7.0328183e-05,0.855053698
35,-11.3489969,-6.11983775,3.39680591,1.66160801,2.82207995,7.22328226e-05,0.855053698
36,-11.3489969,-4.64451687,3.39680591,1.28903375,2.18929873,6.76749813e-05,0.855053698
37,-11.3489969,-3.5,3.39680591,1,1.69840295,6.03131239e-05,0.855053698
38,-11.3489969,-2.5,3.39680591,1,1.69840295,5.07995022e-05,0.855053698
39,-11.3489969,-1.5,3.39680591,1,1.69840295,3.67509011e-05,0.855053698
40,-11.3489969,-0.5,3.39680591,1,1.69840295,2.70202737e-05,0.855053698
41,-8.32067065,-17.706199,2.65984657,4.58760194,6.10115865,5.9425741e-05,0.855053698
42,-8.32067065,-13.6329249,2.65984657,3.55894634,4.73312561,3.87677699e-05,0.855053698
43,-8.32067065,-10.4729811,2.65984657,2.76094116,3.67183995,6.92365462e-05,0.855053698
44,-8.32067065,-8.02157615,2.65984657,2.1418688,2.84852119,0.000113089951,0.855053698
45,-8.32067065,-6.11983775,2.65984657,1.66160801,2.20981118,0.000133269718,0.855053698
46,-8.32067065,-4.64451687,2.65984657,1.28903375,1.714316,0.000127860344,0.855053698
47,-8.32067065,-3.5,2.65984657,1,1.32992329,0.000104193864,0.855053698
48,-8.32067065,-2.5,2.65984657,1,1.32992329,7.34822156e-05,0.855053698
49,-8.32067065,-1.5,2.65984657,1,1.32992329,4.40446312e-05,0.855053698
50,-8.32067065,-0.5,2.65984657,1,1.32992329,2.89206342e-05,0.855053698
51,-5.94935967,-17.706199,2.0827754,4.58760194,4.77747223,8.50943391e-05,0.855053698
52,-5.94935967,-13.6329249,2.0827754,3.55894634,3.70624294,0.000133753495,0.855053698
53,-5.94935967,-10.4729811,2.0827754,2.76094116,2.87521017,0.000192848944,0.855053698
54,-5.94935967,-8.02157615,2.0827754,2.1418688,2.23051582,0.000225229994,0.855053698
55,-5.94935967,-6.11983775,2.0827754,1.66160801,1.73037814,0.000255139185,0.855053698
56,-5.94935967,-4.64451687,2.0827754,1.28903375,1.34238389,0.000287616861,0.855053698
57,-5.94935967,-3.5,2.0827754,1,1.0413877,0.00027488302,0.855053698
58,-5.94935967,-2.5,2.0827754,1,1.0413877,0.000184926669,0.855053698
59,-5.94935967,-1.5,2.0827754,1,1.0413877,6.04347444e-05,0.855053698
60,-5.94935967,-0.5,2.0827754,1,1.0413877,8.66501435e-05,0.855053698
61,-4.09252017,-17.706199,1.63090361,4.58760194,3.74096828,9.7851428e-05,0.855053698
62,-4.09252017,-13.6329249,1.63090361,3.55894634,2.90214921,0.00020326301,0.855053698
63,-4.09252017,-10.4729811,1.63090361,2.76094116,2.25141445,0.000342176073,0.855053698
64,-4.09252017,-8.02157615,1.63090361,2.1418688,1.74659077,0.00050207482,0.855053698
65,-4.09252017,-6.11983775,1.63090361,1.66160801,1.35496124,0.000590044677,0.855053698
66,-4.09252017,-4.64451687,1.63090361,1.28903375,1.05114489,0.000639789787,0.855053698
67,-4.09252017,-3.5,1.63090361,1,0.815451803,0.000682399827,0.855053698
68,-4.09252017,-2.5,1.63090361,1,0.815451803,0.000650061317,0.855053698
